AppBundle\Entity\Post,,,,,,
title,shortDescription,text,mainPicture,createdAt,updatedAt,tags
Among the Thunder and Silence,The show is dedicated to the 80th anniversary of the birth of Vasyl Symonenko. Sergey Proskurnia. Documentary History,The show is dedicated to the 80th anniversary of the birth of Vasyl Symonenko. Sergey Proskurnia. Documentary History,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Kaydash Family,Ivan  Nechuy-Levitsky. Tragic comedy in 3 acts. Duration: 2 hours. 35 min.,Ivan  Nechuy-Levitsky. Tragic comedy in 3 acts. Duration: 2 hours. 35 min.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Garden of Gethsemane,People tragedy in 2 acts. Duration: 2 hours. 20 min.,People tragedy in 2 acts. Duration: 2 hours. 20 min. Running time: 1 hour. 50 min.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Shelmenko-servant,Gregory Kvitka-Osnovyanenko. Music by Vasily Solovyov-Sedoy. Musical comedy in 3 acts.,Gregory Kvitka-Osnovyanenko. Music by Vasily Solovyov-Sedoy. Musical comedy in 3 acts.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Whos the Boss at Home?,"Alex Kolomiets. Travesty in 2 acts based on the play ""Pharaohs"". Duration: 2 hours. 05 min.","Alex Kolomiets. Travesty in 2 acts based on the play ""Pharaohs"". Duration: 2 hours. 05 min.","<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Chasing Two Hares,Michael Starytsky. Comedy in 2 acts. Duration: 2 hours. 15 min.,Michael Starytsky. Comedy in 2 acts. Duration: 2 hours. 15 min.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Matchmaking in Goncharivka,Gregory Kvitka-Osnovyanenko. Music by Cyril Stetsenko. Musical comedy in 2 acts. Duration: 2 hours.,Gregory Kvitka-Osnovyanenko. Music by Cyril Stetsenko. Musical comedy in 2 acts. Duration: 2 hours,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Still Life with Thick Nephew,"Ion Sapdaru. Tragicomedy in 2 acts about monsters, beauty and love. Duration: 1 hour. 40 min.","Ion Sapdaru. Tragicomedy in 2 acts about monsters, beauty and love. Duration: 1 hour. 40 min.","<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Misanthrope,Jean-Baptiste Moliere. Manic comedy,Jean-Baptiste Moliere. Manic comedy,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Very Simple Story,Maria Lado. Parable (Performance has one intermission). Duration: 2 hours.,Maria Lado. Parable (Performance has one intermission). Duration: 2 hours.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Skanning,Eugene Markowski. Dystopia,Eugene Markowski. Dystopia,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Nazar Stodolya,Taras Shevchenko. Christmas mystery-burlesque. Duration: 2 hours.,Taras Shevchenko. Christmas mystery-burlesque. Duration: 2 hours.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Twelve Months or Guardians of the Year,Samuil Marshak. The musical tale. Duration: 1 hour.,Samuil Marshak. The musical tale. Duration: 1 hour.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Golden Chicken,Vladimir Orlov. Musical tale for 1 action. Duration: 50 minutes.,Vladimir Orlov. Musical tale for 1 action. Duration: 50 minutes.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
King Drozdoborod,Bohdan Stelmach. Musical tale for 1 action. Duration: 1 hour. 10 min.,Bohdan Stelmach. Musical tale for 1 action. Duration: 1 hour. 10 min.,"<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
Road to the Sun,"Arkady Gorin, Edward Jaworski. Musical tale for 1 action. Duration: 1 hour. 15 min.","Arkady Gorin, Edward Jaworski. Musical tale for 1 action. Duration: 1 hour. 15 min.","<getMedia('performance-posters/default.jpg', 'post')>","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",5x @tag*
